step,session_step,wins,stage,stage_kill,stage_boss_kill,boss_damage,boss_real_damage,avg_reward,best_avg_reward,reward,window_reward,death_resets,boss_stall_resets,last_terminal_reason,progress,best_progress,boss_hp_pct,sps,epsilon,loss,replay_size,updates,episode,elapsed_sec,device,player_hp,player_full_hp,accuracy,window_accuracy,hit_power,hurt_power,shot_power,window_hit_power,window_hurt_power,window_shot_power,action,action_label,boss_alive_frames,boss_no_hit_frames,boss_low_hp_no_hit_frames,boss_time_penalty,total_boss_time_penalty
1000,1000,0,0,1,0,0,0,3.0932661159005677,3.0932661159005677,100.32476864578422,3093.2661159005675,2,0,hit_death,0.1/0,0.1/0,0.0,63.74294482549818,0.03,111.40344044092065,1001,67558,2,15.688010692596436,cuda,100,100,0.053506375227686705,0.053506375227686705,1175.0,10.0,21960.0,1175.0,10.0,21960.0,6,left-down,0,0,0,0.0,0.0
2000,2000,0,1,2,0,0,0,25.018444603785586,25.018444603785586,200.23658293239183,25018.444603785585,3,0,hit_death,1.2/0,1.2/0,0.0,91.10668967005391,0.03,130.48540315136825,2002,67808,3,26.69615650177002,cuda,100,100,0.06642402183803457,0.07931818181818182,2920.0,15.0,43960.0,1745.0,5.0,22000.0,4,right-down,0,0,0,0.0,0.0
3000,3000,0,1,0,0,0,0,29.31583183309702,29.31583183309702,0.0,29315.831833097018,6,0,hit_death,1.0/0,1.2/0,0.0,58.527765553592694,0.03,149.2863325595772,3005,68058,6,43.813074350357056,cuda,100,100,0.09777002427184465,0.16051912568306012,6445.0,45.0,65920.0,3525.0,30.0,21960.0,8,stay,0,0,0,0.0,0.0
4000,4000,0,1,2,0,0,0,46.68628037858677,46.68628037858677,0.1929643801184995,46686.28037858677,8,0,hit_death,1.2/0,1.2/0,0.0,59.171234176633476,0.03,153.925194265217,4007,68308,8,60.744688510894775,cuda,100,100,0.1137915339098771,0.16188524590163936,10000.0,60.0,87880.0,3555.0,15.0,21960.0,5,down,0,0,0,0.0,0.0
5000,5000,0,1,2,0,0,0,53.532027584081455,53.532027584081455,0.0,53532.02758408146,9,0,hit_death,1.2/0,1.2/0,0.0,32.56601893558888,0.03,161.52984309504086,5008,68558,9,91.4835422039032,cuda,100,100,0.11985615440640933,0.14412568306010928,13165.0,65.0,109840.0,3165.0,5.0,21960.0,2,right-up,0,0,0,0.0,0.0
6000,6000,0,1,10,0,0,0,80.26479374574754,80.26479374574754,0.0,80264.79374574753,10,0,hit_death,1.10/0,1.10/0,0.0,69.81195729568879,0.03,163.92393950350672,6009,68808,10,105.83873677253723,cuda,100,100,0.1356980273141123,0.21493624772313297,17885.0,75.0,131800.0,4720.0,10.0,21960.0,0,left-up,0,0,0,0.0,0.0
7000,7000,0,2,0,0,20,20,281.33324234438186,281.33324234438186,479.098,281333.24234438187,14,0,hit_death,2.0/0,2.0/0,0.8545,69.7620045612129,0.03,179.64921505669716,7013,69058,14,120.20521664619446,cuda,100,100,0.16596228868660598,0.3472727272727273,25525.0,100.0,153800.0,7640.0,25.0,22000.0,5,down,61,0,0,-0.122,-42.62599999999999
8000,8000,0,3,0,0,15,15,993.1283901494744,993.1283901494744,1445.134,993128.3901494744,17,0,hit_death,3.0/0,3.0/0,0.84225,63.110601407812105,0.03,234.7221998693586,8016,69308,17,136.08241605758667,cuda,100,100,0.26109720009105397,0.9286040145985401,45880.0,125.0,175720.0,20355.0,25.0,21920.0,5,down,133,0,0,-0.266,-330.78999999999985
9000,9000,0,3,1,0,15,15,1006.524779437917,1006.524779437917,843.7489999999999,1006524.779437917,19,0,hit_death,3.1/0,3.1/0,0.438,72.9314355957683,0.03,262.35507553575496,9018,69558,19,149.82592344284058,cuda,100,100,0.33774281667341155,0.9510473588342441,66765.0,145.0,197680.0,20885.0,20.0,21960.0,2,right-up,473,0,0,-0.9460000000000001,-753.3319999999994
10000,10000,0,3,0,0,60,60,1101.1827965746359,1101.1827965746359,1812.94,1101182.796574636,21,0,hit_death,3.0/0,3.1/0,0.658,69.38373233504316,0.03,255.3466884261588,10020,69808,21,164.2705261707306,cuda,100,100,0.40292698470502547,0.9886363636363636,88515.0,155.0,219680.0,21750.0,10.0,22000.0,1,up,280,0,0,-0.56,-1318.5239999999992
